18,COME OUT,u-nuzu,ru(?),*suru,?,?,rwə́ŋ; rwə́,?,pizə (?),rwə́n; rúbɛ́ (!),?,?,?,kale (?),piʤi (?),"ros(?), ro(?)",útà,?,ʧira,ùtə̀
18,COME OUT,1,1,1,?,?,2,?,3,2,?,?,?,4,3,1,5,?,6,5
19,"COOL, BE(COME) TO",u-lanzu tutuwui,?,*nara tene,?,?,tùdú,?,inrakwu sanji (H.),gwə́rɛ́,?,?,?,*tewai; u-sanji (H.) (?),?,?,?,?,wa-na; zu-wu,tə̀:xə̀
19,"COOL, BE(COME) TO",1,?,2,?,?,1,?,3,4,?,?,?,3,?,?,?,?,5,6
20,CORPSE,**libi,?,?,?,kàgàwà,?,*ì-gà:wà,?,ə̀rʔú,?,i-ʔu,?,*nekorror,?,?,?,?,wuna,?
20,CORPSE,1,?,?,?,2,?,2,?,3,?,3,?,5,?,?,?,?,4,?
21,COUNT: DRAW A LINE,u-ʤa u-laji (H.),?,*ra,?,?,"ògə̀mâ, gyɛ̀nɛ́",lúbá,"*borgja, *daza piduna","ɔ́:k, kwɔ; gyɛ́n",?,?,?,**kere+ulaji (H.),?,?,ànà,?,"vasze, janska pijara",kècè
21,COUNT: DRAW A LINE,1,?,2,?,?,3,4,5,3,?,?,?,1,?,?,2,?,6,7
22,COW/CATTLE,**fi-na; **kuluka,?,bì-vàrè,ku-na,kànákà,?,bə̀-nɛ́ʔɛ̀,*pi-na,?,?,*bi-na,?,**be-nah,?,inna,?,bi-na,pi-nakhah; karimi,?
22,COW/CATTLE,1,?,2,1,1,?,2,1,?,?,1,?,1,?,1,?,1,1,?
23,CRAB,?,?,*uga-kara,?,?,àvà,ì-ʔwộ:ndù,*korokoro,ù-ʔáŋgàrá,?,?,?,**u-kanna,?,?,hí-kàgùwà,?,ku-puko,mà-kànà
23,CRAB,?,?,1,?,?,2,3,4,2,?,?,?,1,?,?,6,?,7,1
24,CROCODILE,kuku-kunon,?,bè-jó,ʤura,kàyúmpù,cwí:mə̀,?,?,ù-tú,?,ŋ-us,?,o-cérám,?,?,hĩ̀-pã̀,?,ku-ʧirum,"kã̀-j,ṹpù"
