000,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
015,CARVE,u-kezu,?,*sah utiti,?,?,sɛ̀bɛ̀,?,*re-ʃana,?,?,?,?,*ʃava,?,?,?,?,?,ʃèʔwè
015,CARVE,u-kezu,?,*sah utiti,?,?,sɛ̀bɛ̀,?,*re-ʃana,?,?,?,?,*ʃava,?,?,?,?,?,ʃèʔwè
070,RAPHIA PALM,in-ʧem; **ku-kuluk,*a-jed,"**o-ko, **o-geŋ, o-gjeŋ",?,?,?,bìkɛ̀lú,?,?,?,?,?,"**ndaran, **inʤaseh, **u-dabilo (H.)",?,?,?,?,"makur ~masaku, ka-gunga","kà-ʃùwà, kò-wò"
070,RAPHIA PALM,in-ʧem; **ku-kuluk,*a-jed,"**o-ko, **o-geŋ, o-gjeŋ",?,?,?,bìkɛ̀lú,?,?,?,?,?,"**ndaran, **inʤaseh, **u-dabilo (H.)",?,?,?,?,"makur ~masaku, ka-gunga","kà-ʃùwà, kò-wò"
065.1,OIL PALM (ELAEIS GUINEENSIS),im-mai; kuʧanʃmanʤa; H. ku kwakwa,*-kun kwara,**u-titi majiŋ  ʤa H.,?,*bí-ʃi:wa,-hjáŋ,bə̀-kwɛ́:kwɛ̀,*ka-bamba,?,?,*bí-ʃi:wa,?,"***u-ʤase,**ingeru",?,?,?,?,"ma-manʤa H., ku-gumna+","kà-kùlù, mə̀-ʃə̂m"
065.1,OIL PALM (ELAEIS GUINEENSIS),im-mai; kuʧanʃmanʤa; H. ku kwakwa,*-kun kwara,**u-titi majiŋ  ʤa H.,?,*bí-ʃi:wa,-hjáŋ,bə̀-kwɛ́:kwɛ̀,*ka-bamba,?,?,*bí-ʃi:wa,?,"***u-ʤase,**ingeru",?,?,?,?,"ma-manʤa H., ku-gumna+","kà-kùlù, mə̀-ʃə̂m"
112,TEN,kulidir *likure,kur,bìtúrú; rìkùrì,tangini,ʔupa,ó:pá,úpá,pɪ-nɪkɛranaba (dd); ɪkpiri (dc),ɔ̀p,turo (dd.); kɪrəu (dc.),ʔupa,lafa,kúrí,a-kere-(na)-ba (dd.); rɪpiri (dc),ri-kut,úpo,bitio,rikiri,kùpà
112,TEN,kulidir *likure,kur,bìtúrú; rìkùrì,tangini,ʔupa,ó:pá,úpá,pɪ-nɪkɛranaba (dd); ɪkpiri (dc),ɔ̀p,turo (dd.); kɪrəu (dc.),ʔupa,lafa,kúrí,a-kere-(na)-ba (dd.); rɪpiri (dc),ri-kut,úpo,bitio,rikiri,kùpà
103,ONE,*lu-ruŋ,(ka-)ndɔŋ,díŋkà,wondi,*hĩ́:a; ndɛ,ʧiŋ,hĩ,pi-ɪn ~ nu-ɥɪn ~ni-jin,ʧoon,ɪnde; diŋkɛ,*hĩ́:a; ndɛ,wandi,*din ~ lidi,inu ~ ruŋ ~lɪŋ ~gum,-doŋ ~ ri-,?,hini,?,-tè
103,ONE,*lu-ruŋ,(ka-)ndɔŋ,díŋkà,wondi,*hĩ́:a; ndɛ,ʧiŋ,hĩ,pi-ɪn ~ nu-ɥɪn ~ni-jin,ʧoon,ɪnde; diŋkɛ,*hĩ́:a; ndɛ,wandi,*din ~ lidi,inu ~ ruŋ ~lɪŋ ~gum,-doŋ ~ ri-,?,hini,?,-tè
108,SIX,ku-toʧin,a-ʧirɪm,tásé,tase,i-tunihi,"ʧíhèn, -ʧíhèŋ",ʧĩ́hĩ̀,pe-taʃe~ku-taʃi,ʧe:nt,tase,i-tunihi,tase,tásé,(ku-)taʃi,ti-ʧerɪm,"te,zo",taʃe,ku-tasi,-tə̀:lì
108,SIX,ku-toʧin,a-ʧirɪm,tásé,tase,i-tunihi,"ʧíhèn, -ʧíhèŋ",ʧĩ́hĩ̀,pe-taʃe~ku-taʃi,ʧe:nt,tase,i-tunihi,tase,tásé,(ku-)taʃi,ti-ʧerɪm,"te,zo",taʃe,ku-tasi,-tə̀:lì
047,GRASSHOPPER,kuʧin,?,bi-njun,?,?,émà,?,*diti,?,?,?,?,**urwata,?,?,?,?,ku-ʧinʧiŋ,kà-kjṹʔũ̀
047,GRASSHOPPER,kuʧin,?,bi-njun,?,?,émà,?,*diti,?,?,?,?,**urwata,?,?,?,?,ku-ʧinʧiŋ,kà-kjṹʔũ̀
