000,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
085,SONG,avu,**a-ʃamzi  a  ʃam,*i-rina,?,hazəg,?,?,?,?,?,hazəg,?,**uwuno,?,?,?,?,ku-siva,vù-ʃìpà
085,SONG,avu,**a-ʃamzi  a  ʃam,*i-rina,?,hazəg,?,?,?,?,?,hazəg,?,**uwuno,?,?,?,?,ku-siva,vù-ʃìpà
089,"STICKY, TO BE","u-danku  H., **gangan",**a-nabti,*madaki,?,?,?,?,*madabana,?,?,?,?,**uʧiru,?,?,?,?,igamban,?
089,"STICKY, TO BE","u-danku  H., **gangan",**a-nabti,*madaki,?,?,?,?,*madabana,?,?,?,?,**uʧiru,?,?,?,?,igamban,?
054,"KILL, TO",u-moku,?,?,?,-ʃilan-,?,?,*ma-pa,?,?,-ʃilan-,?,**weh,?,?,?,?,kuke,?
054,"KILL, TO",u-moku,?,?,?,-ʃilan-,?,?,*ma-pa,?,?,-ʃilan-,?,**weh,?,?,?,?,kuke,?
097,TWIN,i-bari,**a-pijas,*in bara,?,?,wà rús-ù,?,*i-pana,?,?,?,?,**nm-bara,?,?,?,?,ma-va,mpeʃe
097,TWIN,i-bari,**a-pijas,*in bara,?,?,wà rús-ù,?,*i-pana,?,?,?,?,**nm-bara,?,?,?,?,ma-va,mpeʃe
063,NAME,li-sa,sak,rì-ʤí,?,?,dìnə́,nə̀-zóʔò,*ri-zene,ə̀r-ʤín,?,?,?,né-síjá,ri-ʤɛnne,rɪ-sak (rɪsak ?),r-inə,?,ri-zagij,kù-là
063,NAME,li-sa,sak,rì-ʤí,?,?,dìnə́,nə̀-zóʔò,*ri-zene,ə̀r-ʤín,?,?,?,né-síjá,ri-ʤɛnne,rɪ-sak (rɪsak ?),r-inə,?,ri-zagij,kù-là
010,BELLY,li-buri,pi,ì-púrú,?,*mo-ʧe:aŋgu,d-bə̀tə̀,cīmbə̀lɔ̀,ku-buri,ə́t-mɛ́n,ɛ-puru,*mo-ʧe:aŋgu,?,te-níjáŋá,ku-buri,kɪ-hɛk; u-buro,rí-pò,u-buri,ri-viri,kə̀-tsùmə̀
010,BELLY,li-buri,pi,ì-púrú,?,*mo-ʧe:aŋgu,d-bə̀tə̀,cīmbə̀lɔ̀,ku-buri,ə́t-mɛ́n,ɛ-puru,*mo-ʧe:aŋgu,?,te-níjáŋá,ku-buri,kɪ-hɛk; u-buro,rí-pò,u-buri,ri-viri,kə̀-tsùmə̀
116,FOUR HUNDRED,akalt anas,nak-anas,*sinu sinaze,?,?,?,?,*anna nas,?,?,?,?,n-taadé-ǹ nááze,?,?,a-naka-naʃe,?,ma-dari ma-va,?
116,FOUR HUNDRED,akalt anas,nak-anas,*sinu sinaze,?,?,?,?,*anna nas,?,?,?,?,n-taadé-ǹ nááze,?,?,a-naka-naʃe,?,ma-dari ma-va,?
115.1,TWO HUNDRED,akalt aba,nak-aba,sinu serpo,?,?,?,?,?,?,?,?,?,*tadie mɪ-ria; *a-jini a-ria,?,?,?,?,?,ùkpàkù
115.1,TWO HUNDRED,akalt aba,nak-aba,sinu serpo,?,?,?,?,?,?,?,?,?,*tadie mɪ-ria; *a-jini a-ria,?,?,?,?,?,ùkpàkù
044,"FRY, TO BAKE IN ASHES, TO","**lawa, u-ʤuʤu",?,?,?,?,?,wátə̀gà,*raga,?,?,?,?,"**njaga, pavah",?,?,?,?,"toja (H.), murwuru+an+tee",?
044,"FRY, TO BAKE IN ASHES, TO","**lawa, u-ʤuʤu",?,?,?,?,?,wátə̀gà,*raga,?,?,?,?,"**njaga, pavah",?,?,?,?,"toja (H.), murwuru+an+tee",?
014,CALABASH,ki-ʃik,?,*e-so,u-ra,e-hongu; *i-koa:ra,ì-hònò,bùgwɛ̀:gwɛ̀,*kake,ə́r-kɔ́k,?,e-hongu; *i-koa:ra,?,ne-ʤááró,?,?,hí-nɔ̀í-,?,ki-sep,mò-kóʔò
014,CALABASH,ki-ʃik,?,*e-so,u-ra,e-hongu; *i-koa:ra,ì-hònò,bùgwɛ̀:gwɛ̀,*kake,ə́r-kɔ́k,?,e-hongu; *i-koa:ra,?,ne-ʤááró,?,?,hí-nɔ̀í-,?,ki-sep,mò-kóʔò
086,"SPEAK, TO",u-liru,*raba; *zi-bin,*banu,?,*(mi:)*ʧúza:ma,ìgmə̂,?,**woro; **lelikja; **miga,zɛ́ʔ; rɔ́r; tɛ́pɛ́r,?,*(mi:)*ʧúza:ma,?,asa (na-sa  ?),?,?,wopə,?,vere,dã̀sà
086,"SPEAK, TO",u-liru,*raba; *zi-bin,*banu,?,*(mi:)*ʧúza:ma,ìgmə̂,?,**woro; **lelikja; **miga,zɛ́ʔ; rɔ́r; tɛ́pɛ́r,?,*(mi:)*ʧúza:ma,?,asa (na-sa  ?),?,?,wopə,?,vere,dã̀sà
043,CHICKEN/FOWL,*ko-koro,kɔr (?),bì-tókóró,?,woa:roma,kə́cì,*i-janḿa,kuru,ù-kjît,bi-tukoro,woa:roma,?,bə-tóórò,kuru?  kura,o-kur,hí-tálkɔ̀í-,-tokoro,-kukuru,mò-tòkù
043,CHICKEN/FOWL,*ko-koro,kɔr (?),bì-tókóró,?,woa:roma,kə́cì,*i-janḿa,kuru,ù-kjît,bi-tukoro,woa:roma,?,bə-tóórò,kuru?  kura,o-kur,hí-tálkɔ̀í-,-tokoro,-kukuru,mò-tòkù
042,FOREST (BUSH),"a-ʧa (pl.), ku-liri",?,ò-ʤà,?,*o:-ri:aba,?,ì-kúrmì (H.),ka-jiri,?,?,*o:-ri:aba,?,**n-dareh,?,?,?,?,karimi (H.),?
042,FOREST (BUSH),"a-ʧa (pl.), ku-liri",?,ò-ʤà,?,*o:-ri:aba,?,ì-kúrmì (H.),ka-jiri,?,?,*o:-ri:aba,?,**n-dareh,?,?,?,?,karimi (H.),?
064,NIGHT: DAY OF 24 HOURS,ki-tik,"tuk, wəi","ə̀tìtìjə̀, òŋmè","lahare, ufin; ufin agoto","*á-gítã, *ɔ́:hõhõ","gjòpó, s- (ø(m)/s-)",ìŋhwúlà,"kɪ-tuk, lɪ-katta",?,"lie, suru-wəi (o-wəi = ‘sun’)","*á-gítã, *ɔ́:hõhõ",lahare,nə́-máré,"kɪ-tuk, ɪ-mɛŋme","kɪ-tuk, u-vie",a-kipɔ,"uuna, anungme",ka-tuk,"kã́j,ĩ̀"
064,NIGHT: DAY OF 24 HOURS,ki-tik,"tuk, wəi","ə̀tìtìjə̀, òŋmè","lahare, ufin; ufin agoto","*á-gítã, *ɔ́:hõhõ","gjòpó, s- (ø(m)/s-)",ìŋhwúlà,"kɪ-tuk, lɪ-katta",?,"lie, suru-wəi (o-wəi = ‘sun’)","*á-gítã, *ɔ́:hõhõ",lahare,nə́-máré,"kɪ-tuk, ɪ-mɛŋme","kɪ-tuk, u-vie",a-kipɔ,"uuna, anungme",ka-tuk,"kã́j,ĩ̀"
062,"MOUNT, TO",u-anu,*namgiʧe; **warki,*njana,?,?,sàkà,dídànà,**tuga:,da̍,?,?,?,**njanah,?,?,noná,?,tuwa,kùmbà
062,"MOUNT, TO",u-anu,*namgiʧe; **warki,*njana,?,?,sàkà,dídànà,**tuga:,da̍,?,?,?,**njanah,?,?,noná,?,tuwa,kùmbà
080,"SHINE, BE LIGHT, BE WHITE TO","uwaltu, ula, ubo",kenim,"*wuna, *u-ra (n. ?), **u-ruŋ",?,ʧene,?,ìtàshì,"*buka, *u-zebi, **ka buk",?,?,ʧene,?,"**nsah, *rɔmbo (is-)",buk,kane (‘is-’),?,?,anpeze; samte,"àkànà, ə́rmə̂"
080,"SHINE, BE LIGHT, BE WHITE TO","uwaltu, ula, ubo",kenim,"*wuna, *u-ra (n. ?), **u-ruŋ",?,ʧene,?,ìtàshì,"*buka, *u-zebi, **ka buk",?,?,ʧene,?,"**nsah, *rɔmbo (is-)",buk,kane (‘is-’),?,?,anpeze; samte,"àkànà, ə́rmə̂"
048,"GROW, BECOME STRONG, TO","akara, u-kunʤu",?,"*bare, *agata",?,?,gùbù,?,"*kuna, *tukuna",?,?,?,?,"**hara+nkor, **gasa+nkor",?,?,?,?,usisazu,gbòngùrò
048,"GROW, BECOME STRONG, TO","akara, u-kunʤu",?,"*bare, *agata",?,?,gùbù,?,"*kuna, *tukuna",?,?,?,?,"**hara+nkor, **gasa+nkor",?,?,?,?,usisazu,gbòngùrò
039,FEAR,fiw,?,*i-wi,?,?,ə̀v-gyèlà (v.),?,matau,?,?,?,?,*u-wageh,?,?,?,?,u-ke-u,wõ̀vò
039,FEAR,fiw,?,*i-wi,?,?,ə̀v-gyèlà (v.),?,matau,?,?,?,?,*u-wageh,?,?,?,?,u-ke-u,wõ̀vò
110,EIGHT,kuliv,a-wur,úrú,riju,i-totato,jə́:rù,tíndátù,ko-nas ~ ku-,ʔé:r,uro,i-totato,bəsanaze,ríré,(ku-)na-nas,u-wur,dálànzɔ,ru,ku-tasi a iva,kúnlə̀i
110,EIGHT,kuliv,a-wur,úrú,riju,i-totato,jə́:rù,tíndátù,ko-nas ~ ku-,ʔé:r,uro,i-totato,bəsanaze,ríré,(ku-)na-nas,u-wur,dálànzɔ,ru,ku-tasi a iva,kúnlə̀i
019,"COOL, BE(COME) TO",u-lanzu tutuwui,?,*nara tene,?,?,tùdú,?,inrakwu sanji (H.),gwə́rɛ́,?,?,?,*tewai; u-sanji (H.) (?),?,?,?,?,wa-na; zu-wu,tə̀:xə̀
019,"COOL, BE(COME) TO",u-lanzu tutuwui,?,*nara tene,?,?,tùdú,?,inrakwu sanji (H.),gwə́rɛ́,?,?,?,*tewai; u-sanji (H.) (?),?,?,?,?,wa-na; zu-wu,tə̀:xə̀
004,ARROW,u-ʧilak; *o-ʧellak,a-tsɪr,ù-vìrà,hu-ila,e-ʔel,-dè:la,nì-ʔìlà,u-kɪlla,ə́rʔɛ́r,oira,e-ʔel,?,*ɔ-wila,wu-kɪrra,u-ʧɪr,rí-bábɛ̀,ka-wija,u-ʧira,kà-jàʔà
004,ARROW,u-ʧilak; *o-ʧellak,a-tsɪr,ù-vìrà,hu-ila,e-ʔel,-dè:la,nì-ʔìlà,u-kɪlla,ə́rʔɛ́r,oira,e-ʔel,?,*ɔ-wila,wu-kɪrra,u-ʧɪr,rí-bábɛ̀,ka-wija,u-ʧira,kà-jàʔà
111,NINE,kutivi,ʃa-dɔŋ,toroj,unnanasi,i-tińdəsi,dó:rè  ìdó:rè,tíndíʃì,pe-tɔrore ~ ko-tɔrɔre,ʤírɔ̀,toroəi,i-tińdəsi,bita gene,tárá  (H.),kiʃa-nuas,u-sɔtat,látànàʃẽ́,tɔrwai,ku-tasi a i-tar,kùʧì
111,NINE,kutivi,ʃa-dɔŋ,toroj,unnanasi,i-tińdəsi,dó:rè  ìdó:rè,tíndíʃì,pe-tɔrore ~ ko-tɔrɔre,ʤírɔ̀,toroəi,i-tińdəsi,bita gene,tárá  (H.),kiʃa-nuas,u-sɔtat,látànàʃẽ́,tɔrwai,ku-tasi a i-tar,kùʧì
001,ANIMAL,fɪ-nawa,nam,bì-námá,kori/a-koraja,bi-nemi,nə̀:mə̂ (ø-(v),bì-nî,ku-nʌma,?,bɪ-nama,bi-nemi,u-leme,bɪ-nama,ka-nama,e-nam,hi-nama,i-nama,e-nama,mà-námà
001,ANIMAL,fɪ-nawa,nam,bì-námá,kori/a-koraja,bi-nemi,nə̀:mə̂ (ø-(v),bì-nî,ku-nʌma,?,bɪ-nama,bi-nemi,u-leme,bɪ-nama,ka-nama,e-nam,hi-nama,i-nama,e-nama,mà-námà
051,HEART,a-ji,hwada,bìrìwà,?,e-koko,k-dɛ̀bɛ̀,bə̀-gɛ́tɛ̀,nɪ-so,ə́r-húr,ɛ-roba,e-koko,jaɲe,nə́-sɔ́bɔ́,kaʧi karɪʃja,ri-roŋ,hì-tsùmù,e-riba,ri-rup,kə̀-ɗú
051,HEART,a-ji,hwada,bìrìwà,?,e-koko,k-dɛ̀bɛ̀,bə̀-gɛ́tɛ̀,nɪ-so,ə́r-húr,ɛ-roba,e-koko,jaɲe,nə́-sɔ́bɔ́,kaʧi karɪʃja,ri-roŋ,hì-tsùmù,e-riba,ri-rup,kə̀-ɗú
030,"BECOME DRY, TO",u-kotu,?,*wa,?,i-ho:so,"hwà, hɔ̌",hə́ˋgə̀ˋlə́ˋ,*ki-za,fwɔ́,?,i-ho:so,?,**u-wijaror,?,?,lúnà,?,ro-wo,ɗè:kpè
030,"BECOME DRY, TO",u-kotu,?,*wa,?,i-ho:so,"hwà, hɔ̌",hə́ˋgə̀ˋlə́ˋ,*ki-za,fwɔ́,?,i-ho:so,?,**u-wijaror,?,?,lúnà,?,ro-wo,ɗè:kpè
018,COME OUT,u-nuzu,ru(?),*suru,?,?,rwə́ŋ; rwə́,?,pizə (?),rwə́n; rúbɛ́ (!),?,?,?,kale (?),piʤi (?),"ros(?), ro(?)",útà,?,ʧira,ùtə̀
018,COME OUT,u-nuzu,ru(?),*suru,?,?,rwə́ŋ; rwə́,?,pizə (?),rwə́n; rúbɛ́ (!),?,?,?,kale (?),piʤi (?),"ros(?), ro(?)",útà,?,ʧira,ùtə̀
052,HEAVY,ge-tek,kupas,*denden,?,?,m̀ní,ìʒə̃́:tọ̀,*u-zzebi,ə́s-nə́,?,?,?,**umanu,-ʤɪp (?),lɛktɛk,é-nʤènʤí,?,u-zip,ə̀mìkì
052,HEAVY,ge-tek,kupas,*denden,?,?,m̀ní,ìʒə̃́:tọ̀,*u-zzebi,ə́s-nə́,?,?,?,**umanu,-ʤɪp (?),lɛktɛk,é-nʤènʤí,?,u-zip,ə̀mìkì
028,"DIVIDE, SHARE OUT, TO",koso,?,*wara,?,?,wàn kâ,ŋgámâŋgà,*gawa,wóŋk,?,?,?,**hara,?,?,pòrkà,?,gan zar,pè:cè
028,"DIVIDE, SHARE OUT, TO",koso,?,*wara,?,?,wàn kâ,ŋgámâŋgà,*gawa,wóŋk,?,?,?,**hara,?,?,pòrkà,?,gan zar,pè:cè
100,WATER,inwen,niŋ,mə̀ɲí,moni,mńi,m̀hɔ̀ (:),mò,mńi,ə̀mhɔ́ʔ (ɔ̃ ?); ə̀mmíʔ,manji,mńi,mani,*mɪni,mńi,mɪnɪŋ,?,mani,?,mìnì
100,WATER,inwen,niŋ,mə̀ɲí,moni,mńi,m̀hɔ̀ (:),mò,mńi,ə̀mhɔ́ʔ (ɔ̃ ?); ə̀mmíʔ,manji,mńi,mani,*mɪni,mńi,mɪnɪŋ,?,mani,?,mìnì
006,ASK (A QUESTION),u-tirimi,zenak (?),*sanjara,?,?,ìpkə̂,tə́ˋ:mbə́ǹə́ˋ,ribi,cít,?,?,?,jaas-,ribi,as(?),bípə̀,?,rivi; u-tambaja (H.),è:cè
006,ASK (A QUESTION),u-tirimi,zenak (?),*sanjara,?,?,ìpkə̂,tə́ˋ:mbə́ǹə́ˋ,ribi,cít,?,?,?,jaas-,ribi,as(?),bípə̀,?,rivi; u-tambaja (H.),è:cè
034,ELEPHANT,*fe-ro,ruwa,bèró,?,u-gjo,lɔ̀gmɔ̂,ìgyĩ̀wà,pɪ-rɔgɔ,ù-rɔ́k,bi-rɔ,u-gjo,?,bə́-rwaga,kɪ-rɔgɔ,u-rɔ,hí-lə̌llə́,bi-rɔ,pi-kaie,kà-gìwà
034,ELEPHANT,*fe-ro,ruwa,bèró,?,u-gjo,lɔ̀gmɔ̂,ìgyĩ̀wà,pɪ-rɔgɔ,ù-rɔ́k,bi-rɔ,u-gjo,?,bə́-rwaga,kɪ-rɔgɔ,u-rɔ,hí-lə̌llə́,bi-rɔ,pi-kaie,kà-gìwà
075,"ROT, TO",?,?,*iʃu,?,?,zə̀mə́,hwə́sò,"*baza, **bazo:",wə́m,?,?,?,***u-ʧwise,?,?,?,?,vuzo,?
075,"ROT, TO",?,?,*iʃu,?,?,zə̀mə́,hwə́sò,"*baza, **bazo:",wə́m,?,?,?,***u-ʧwise,?,?,?,?,vuzo,?
049,GUINEA-FOWL,**ku-det,?,bì-rój,?,i-rjɛgu,rjògò,ì-làgù,pirobi,ù-kɔ̂t,?,i-rjɛgu,?,rwaba,?,?,hí-cɔ̀kcɔ́,?,ku-rovuo,kà-ɗàkù
049,GUINEA-FOWL,**ku-det,?,bì-rój,?,i-rjɛgu,rjògò,ì-làgù,pirobi,ù-kɔ̂t,?,i-rjɛgu,?,rwaba,?,?,hí-cɔ̀kcɔ́,?,ku-rovuo,kà-ɗàkù
016,CHARCOAL,ti-ʧimi,?,*tene,?,bi:-rono,?,ìnjìndɔ̀,?,?,?,bi:-rono,?,*nnine,?,?,?,?,ti-ʧeni (?),?
016,CHARCOAL,ti-ʧimi,?,*tene,?,bi:-rono,?,ìnjìndɔ̀,?,?,?,bi:-rono,?,*nnine,?,?,?,?,ti-ʧeni (?),?
013,"BUILD, TO (CF. SEW)",u-ke,?,?,?,?,mǎ,mâ:ŋgà,tumu ~ tum,ma̍,?,?,?,*ʤag,tumu ~ tun (?),"sur, sɔr",?,?,masuwa,màʔà
013,"BUILD, TO (CF. SEW)",u-ke,?,?,?,?,mǎ,mâ:ŋgà,tumu ~ tum,ma̍,?,?,?,*ʤag,tumu ~ tun (?),"sur, sɔr",?,?,masuwa,màʔà
033,EGG,li-kwai (<H.); *li-pai,ʧi kɔr,rì-ŋmwà,?,le:-nge,d-gjàŋ,nìˋ-ŋgjà,nɪ-kpa,ə́rgjɛ́,ni-wa,le:-nge,?,nə́-ŋmwá,lɪ-pa,ri-ʧe,rɛ-rɛ,i-ngma,ri-kwa,kò-kòwò
033,EGG,li-kwai (<H.); *li-pai,ʧi kɔr,rì-ŋmwà,?,le:-nge,d-gjàŋ,nìˋ-ŋgjà,nɪ-kpa,ə́rgjɛ́,ni-wa,le:-nge,?,nə́-ŋmwá,lɪ-pa,ri-ʧe,rɛ-rɛ,i-ngma,ri-kwa,kò-kòwò
096,TREE,ku-ʧa,a-kun,u-titi,ta-ʧi,u-əə; *ó:-õõ,cě,ì’à’ù,ku-ʧi,ù-cé,o-titi,u-əə; *ó:-õõ,ti-ʃi,ú-tí,kɪ-ʧi,ɔ-kun~u-,ú-cə̃̀,u-ti,ka-ti,mà-ɗáŋgà
096,TREE,ku-ʧa,a-kun,u-titi,ta-ʧi,u-əə; *ó:-õõ,cě,ì’à’ù,ku-ʧi,ù-cé,o-titi,u-əə; *ó:-õõ,ti-ʃi,ú-tí,kɪ-ʧi,ɔ-kun~u-,ú-cə̃̀,u-ti,ka-ti,mà-ɗáŋgà
011,BITE,u-kifinu,kas,*ruma,?,?,ɛ̀:pɛ̀,?,kata,ha̍w,rumza ~ ruma (?),?,?,*lɔmze; kɔlɔma,kaza- ~ kata-,jebɪn,kə́pə̀nə̀,manju,kaɛka,lùmà
011,BITE,u-kifinu,kas,*ruma,?,?,ɛ̀:pɛ̀,?,kata,ha̍w,rumza ~ ruma (?),?,?,*lɔmze; kɔlɔma,kaza- ~ kata-,jebɪn,kə́pə̀nə̀,manju,kaɛka,lùmà
005,ASHES,in-ton,?,ǹ-tó,?,mu-oto,m-tɔ́ŋ,"ìnta, $",*in-ʧe,?,?,mu-oto,?,ń-twá,?,?,másákáyã̀,?,an-tse,kò-kòmò
005,ASHES,in-ton,?,ǹ-tó,?,mu-oto,m-tɔ́ŋ,"ìnta, $",*in-ʧe,?,?,mu-oto,?,ń-twá,?,?,másákáyã̀,?,an-tse,kò-kòmò
076,RUBBISH-HEAP,kuwun tizun ʃara,**ingjoge jiezia: a:jijen,**u-gaŋ-ɲe,?,?,?,?,?,?,?,?,?,**ni-ʧinge,?,?,?,?,maguza,kə̀kí:zə̂
076,RUBBISH-HEAP,kuwun tizun ʃara,**ingjoge jiezia: a:jijen,**u-gaŋ-ɲe,?,?,?,?,?,?,?,?,?,**ni-ʧinge,?,?,?,?,maguza,kə̀kí:zə̂
025,"DANCE, TO","**su  a-vu, a-vu",?,*gari  i-rina,?,ci-hjebu,hèvá,"h’íbà, nə̀-gàmà","*u-baja, *u-baja",hɛ́w,?,ci-hjebu,?,ɔ́-rígá,?,?,rùmèkà,?,"jekhah, ku-jiga",jèʔè
025,"DANCE, TO","**su  a-vu, a-vu",?,*gari  i-rina,?,ci-hjebu,hèvá,"h’íbà, nə̀-gàmà","*u-baja, *u-baja",hɛ́w,?,ci-hjebu,?,ɔ́-rígá,?,?,rùmèkà,?,"jekhah, ku-jiga",jèʔè
117,THOUSAND,?,**nák kurru,*sinu nkuri,?,?,zə̀ŋgú  ʔó:pá,?,*rina rig,?,?,?,?,o-dúbú  H.,?,?,údubu H.,?,-dari ri-kiri,?
117,THOUSAND,?,**nák kurru,*sinu nkuri,?,?,zə̀ŋgú  ʔó:pá,?,*rina rig,?,?,?,?,o-dúbú  H.,?,?,údubu H.,?,-dari ri-kiri,?
031,EAR,*kɔ-tɔf,?,ò-tóŋí,?,a-tobi,?,ì-câ,ku-to,?,o-tɔi,a-tobi,ta-ttɔ,*ɔ-tɔ,a-to  (? pl.),?,?,u-tawai,?,?
031,EAR,*kɔ-tɔf,?,ò-tóŋí,?,a-tobi,?,ì-câ,ku-to,?,o-tɔi,a-tobi,ta-ttɔ,*ɔ-tɔ,a-to  (? pl.),?,?,u-tawai,?,?
009,BEG (ASK FOR S.T.),uroko (< H.),?,?,?,(mi:) roko:,kòná,?,?,?,?,(mi:) roko:,?,*rokoh (< H.),?,?,hútá,?,rivi,?
009,BEG (ASK FOR S.T.),uroko (< H.),?,?,?,(mi:) roko:,kòná,?,?,?,?,(mi:) roko:,?,*rokoh (< H.),?,?,hútá,?,rivi,?
069,QUARREL,su kubun kubun,**vuntsi,*u-kara,?,?,?,?,?,?,?,?,?,**awen,?,?,?,?,manpomono mapomono,ʃìlkə̀
069,QUARREL,su kubun kubun,**vuntsi,*u-kara,?,?,?,?,?,?,?,?,?,**awen,?,?,?,?,manpomono mapomono,ʃìlkə̀
050,HEAD,li-ti,ʧi,rè-té,?,e-to,d-hí,bù-kwɛ̀ŋgjè,ni-ʧe,ər-hí,lɪ-ʧe,e-to,u-kpai,ní- ʧíjé,lɪ-ʧi,lɪ-te (? rɪ-),rì-ʃìtə̀,i-te,ri-ti,kà-cí
050,HEAD,li-ti,ʧi,rè-té,?,e-to,d-hí,bù-kwɛ̀ŋgjè,ni-ʧe,ər-hí,lɪ-ʧe,e-to,u-kpai,ní- ʧíjé,lɪ-ʧi,lɪ-te (? rɪ-),rì-ʃìtə̀,i-te,ri-ti,kà-cí
020,CORPSE,**libi,?,?,?,i-ʔu,?,*ì-gà:wà,?,ə̀rʔú,?,i-ʔu,?,*nekorror,?,?,?,?,wuna,?
020,CORPSE,**libi,?,?,?,i-ʔu,?,*ì-gà:wà,?,ə̀rʔú,?,i-ʔu,?,*nekorror,?,?,?,?,wuna,?
065,FAN PALM (BORASSUS AETHIOPUM),im-mai; kuʧanʃmanʤa; H. ku kwakwa,*-kun kwara,**u-titi majiŋ  ʤa H.,?,*bí-ʃi:wa,-újáŋ,bə̀-kwɛ́:kwɛ̀,*ka-bamba,?,?,*bí-ʃi:wa,?,"***u-ʤase,**ingeru",?,?,hí-kɔ́lɔ̀,?,"ma-manʤa H., ku-gumna+","kà-kùlù,mə̀-ʃə̂m"
065,FAN PALM (BORASSUS AETHIOPUM),im-mai; kuʧanʃmanʤa; H. ku kwakwa,*-kun kwara,**u-titi majiŋ  ʤa H.,?,*bí-ʃi:wa,-újáŋ,bə̀-kwɛ́:kwɛ̀,*ka-bamba,?,?,*bí-ʃi:wa,?,"***u-ʤase,**ingeru",?,?,hí-kɔ́lɔ̀,?,"ma-manʤa H., ku-gumna+","kà-kùlù,mə̀-ʃə̂m"
041,FIREWOOD,a-ʧan-la,?,títí,?,*jɛ:ɔ̃,cé cə̀ŋ hwèlá,?,*ma-ʧi,?,?,*jɛ:ɔ̃,?,**tihtíh,?,?,ú-cə̃̀,?,titie,mà-ɗángà
041,FIREWOOD,a-ʧan-la,?,títí,?,*jɛ:ɔ̃,cé cə̀ŋ hwèlá,?,*ma-ʧi,?,?,*jɛ:ɔ̃,?,**tihtíh,?,?,ú-cə̃̀,?,titie,mà-ɗángà
093,"TONGUE, LANGUAGE","li-lem, timap","¥am, *-rakut","ǹ-léŋ, *e-boze",?,á-rjĩn,d-rémé,"àɲà:tu, ʧìgánə̀ŋgà","pɪ-¥ɛm, *u-jare",ə̀l-lém,lɪ-lɛm,á-rjĩn,ja-lim,né-njám**ti-jare,pɪ-lim,u-lɛm,rí-lùmè,i-liam,"di-rem, tivervene",kèléntsû
093,"TONGUE, LANGUAGE","li-lem, timap","¥am, *-rakut","ǹ-léŋ, *e-boze",?,á-rjĩn,d-rémé,"àɲà:tu, ʧìgánə̀ŋgà","pɪ-¥ɛm, *u-jare",ə̀l-lém,lɪ-lɛm,á-rjĩn,ja-lim,né-njám**ti-jare,pɪ-lim,u-lɛm,rí-lùmè,i-liam,"di-rem, tivervene",kèléntsû
003,ARMPIT,ki-jo,?,*mawo,?,?,d-hàpà,-bìakútè,?,ə́r-hápsɛ́,?,?,?,o-haafane,?,?,ry-átákà,?,kawava,kù- pã̀jã̀
003,ARMPIT,ki-jo,?,*mawo,?,?,d-hàpà,-bìakútè,?,ə́r-hápsɛ́,?,?,?,o-haafane,?,?,ry-átákà,?,kawava,kù- pã̀jã̀
082,"SKIN, HIDE, BARK","kukwa kidowo, kukwa finawa","*-barak, *mar(kun)","rì-kàzà, **rikaza ri, **o-vokolo",?,*u-wá:ba,ù-wɛ̀dɛ́,"ì-lápà, soʔò, ìgúgù","*ku-tan, *wugu, *kugu",ú-ká,?,*u-wá:ba,?,"ó-wá, **u-kwu",?,?,u-kena,?,"ku-kwa+ku+pi+jer, ku-kwa=ku+pi-nama, ku-boko ka-ti","ùkpã̀, kə́:vû"
082,"SKIN, HIDE, BARK","kukwa kidowo, kukwa finawa","*-barak, *mar(kun)","rì-kàzà, **rikaza ri, **o-vokolo",?,*u-wá:ba,ù-wɛ̀dɛ́,"ì-lápà, soʔò, ìgúgù","*ku-tan, *wugu, *kugu",ú-ká,?,*u-wá:ba,?,"ó-wá, **u-kwu",?,?,u-kena,?,"ku-kwa+ku+pi+jer, ku-kwa=ku+pi-nama, ku-boko ka-ti","ùkpã̀, kə́:vû"
077,SEND: WORK,katwa,**a-ha *ʧia,tuma **i-tuma,?,?,còmá,ì’áikjì,*tuma ku-tuma,cf. ù-tɔ́m,?,?,?,**tornte *lɪ-tuma,tum,rarɛ-tum (v.),?,?,tumam,sù:kù
077,SEND: WORK,katwa,**a-ha *ʧia,tuma **i-tuma,?,?,còmá,ì’áikjì,*tuma ku-tuma,cf. ù-tɔ́m,?,?,?,**tornte *lɪ-tuma,tum,rarɛ-tum (v.),?,?,tumam,sù:kù
073,ROAD: PATH,li-bo,zɪn,ù-rùnà,?,e-jń,k-lɛ̀vɛ́,ìjwã̀,o-ʤɛna,ù-cóu,o-na,e-jń,?,*o-wunda,u-ʤɛna,u-ʤɪn,ù-cìnà,?,u-~ki-rina,ù-jè
073,ROAD: PATH,li-bo,zɪn,ù-rùnà,?,e-jń,k-lɛ̀vɛ́,ìjwã̀,o-ʤɛna,ù-cóu,o-na,e-jń,?,*o-wunda,u-ʤɛna,u-ʤɪn,ù-cìnà,?,u-~ki-rina,ù-jè
026,DEPTH,ʧanʧam,?,*o-jo,?,?,s-lɔ̀(s-),ìʔílọ̀,*u-dangu,ə́r-də́w,?,?,?,**ornehreh,?,?,rí-lúkù,?,u-kenberu,ù-gə̀vì
